date,resp_avg,resp_min,resp_max,count
2025-01-24,17.166666666666668,15.0,21.5,45
2025-01-25,17.035714285714285,15.5,22.5,42
2025-01-26,16.771428571428572,15.0,21.5,35
2025-01-27,17.0,13.5,22.0,55
2025-01-28,17.225,14.0,21.5,40
2025-01-29,17.043478260869566,15.0,21.0,46
2025-01-30,16.544444444444444,14.5,21.0,45
2025-01-31,16.4468085106383,13.5,21.0,47
2025-02-01,16.897435897435898,15.0,20.0,39
2025-02-02,17.63157894736842,13.0,20.0,38
2025-02-03,17.144444444444446,14.0,20.0,45
2025-02-04,16.66,14.0,21.0,50
2025-02-05,17.23469387755102,14.0,22.5,49
2025-02-06,16.934782608695652,14.5,22.5,46
2025-02-07,22.032608695652176,16.5,35.5,46
2025-02-08,19.885714285714286,18.0,22.5,35
2025-02-09,18.0,15.5,22.0,38
2025-02-10,16.82,14.0,21.0,50
2025-02-11,16.988095238095237,15.0,25.5,42
2025-02-12,16.9,14.5,20.0,45
2025-02-13,16.8,15.0,22.5,55
2025-02-14,16.1125,15.0,21.0,40
2025-02-15,16.870967741935484,15.5,21.5,31
2025-02-16,16.921875,14.5,20.5,64
2025-02-17,17.616071428571427,16.0,22.0,56
2025-02-18,16.6,12.0,20.5,45
2025-02-19,17.579545454545453,14.0,35.0,44
2025-02-20,16.354166666666668,14.5,20.5,48
2025-02-21,16.636363636363637,14.0,19.5,44
2025-02-22,17.59090909090909,14.5,25.5,33
2025-02-23,16.666666666666668,13.5,20.5,51
2025-02-24,16.850877192982455,15.0,23.5,57
2025-02-25,16.397959183673468,14.0,20.0,49
2025-02-26,16.95744680851064,14.5,22.0,47
2025-02-27,16.706521739130434,14.5,23.5,46
2025-02-28,16.42222222222222,14.5,21.5,45
2025-03-01,16.525641025641026,14.0,20.5,39
2025-03-02,17.19148936170213,15.0,20.5,47
2025-03-03,17.68918918918919,15.0,25.0,37
2025-03-04,16.93617021276596,15.5,20.5,47
2025-03-05,17.272727272727273,15.5,20.0,44
2025-03-06,15.988888888888889,14.0,22.5,45
2025-03-07,15.916666666666666,14.5,18.5,42
2025-03-08,16.515151515151516,13.0,20.0,33
2025-03-09,15.487804878048781,12.5,18.0,41
2025-03-10,16.20408163265306,15.0,19.5,49
2025-03-11,16.55952380952381,14.5,23.5,42
2025-03-12,16.906976744186046,13.5,21.5,43
2025-03-13,24.557142857142857,18.5,32.0,35
2025-03-14,18.456521739130434,15.0,20.5,46
2025-03-15,16.597560975609756,14.0,20.5,41
2025-03-16,16.645833333333332,14.0,23.0,48
2025-03-17,16.972727272727273,14.5,22.0,55
2025-03-18,16.063636363636363,13.0,19.5,55
2025-03-19,16.75,14.0,21.0,46
2025-03-20,16.365853658536587,10.5,32.5,41
2025-03-21,16.5,14.0,21.5,46
2025-03-22,16.774509803921568,14.0,23.5,51
2025-03-23,17.173076923076923,14.5,21.0,52
2025-03-24,17.641304347826086,16.0,21.5,46
2025-03-25,16.75609756097561,14.0,25.0,41
2025-03-26,17.375,15.5,19.5,36
2025-03-27,17.454545454545453,15.0,20.5,44
2025-03-28,16.92222222222222,14.5,19.0,45
2025-03-29,18.243243243243242,16.0,25.0,37
2025-03-30,17.1484375,14.0,21.5,64
2025-03-31,16.72826086956522,15.0,19.5,46
2025-04-01,16.444444444444443,14.5,20.0,45
2025-04-02,15.628205128205128,14.0,18.0,39
2025-04-03,16.229166666666668,14.0,21.0,48
2025-04-04,16.47872340425532,11.5,20.5,47
2025-04-05,16.88372093023256,13.0,20.5,43
2025-04-06,16.489583333333332,14.0,20.0,48
2025-04-07,16.975609756097562,15.0,20.5,41
2025-04-08,16.28409090909091,14.0,21.0,44
2025-04-09,16.55952380952381,14.0,32.0,42
2025-04-10,15.822222222222223,14.0,20.5,45
2025-04-11,16.056818181818183,14.5,20.0,44
2025-04-12,17.76153846153846,15.5,32.0,65
2025-04-13,15.52127659574468,13.5,20.5,47
2025-04-14,16.933333333333334,14.5,21.0,45
2025-04-15,16.29787234042553,14.0,20.5,47
2025-04-16,16.06122448979592,14.0,20.0,49
2025-04-17,16.13953488372093,15.0,20.5,43
2025-04-18,15.897727272727273,14.0,18.5,44
2025-04-19,15.974358974358974,14.5,19.5,39
2025-04-20,16.581818181818182,13.5,20.0,55
2025-04-21,18.294117647058822,15.5,22.5,51
2025-04-22,16.453703703703702,14.5,20.0,54
2025-04-23,16.591836734693878,14.5,19.5,49
2025-04-24,16.891304347826086,15.0,22.0,46
2025-04-25,16.0625,14.5,20.0,48
2025-04-26,17.03191489361702,15.5,21.0,47
2025-04-27,16.925925925925927,14.0,32.5,54
2025-04-28,16.76530612244898,15.0,20.5,49
2025-04-29,16.69,15.0,20.5,50
2025-04-30,16.466666666666665,14.5,20.0,30
2025-05-01,17.07,15.0,33.5,50
2025-05-02,16.928571428571427,14.5,20.5,42
2025-05-03,17.25,14.0,20.0,42
2025-05-04,16.609756097560975,13.5,19.5,41
2025-05-05,17.64,16.0,22.5,50
2025-05-06,16.989795918367346,14.5,20.5,49
2025-05-07,16.22093023255814,14.0,21.0,43
2025-05-08,16.195652173913043,14.0,22.0,46
2025-05-09,17.020833333333332,15.0,21.5,48
2025-05-10,16.7375,15.0,21.0,40
2025-05-11,16.96078431372549,14.5,21.0,51
2025-05-12,17.318181818181817,15.5,21.0,44
2025-05-13,16.865853658536587,14.5,23.5,41
2025-05-14,16.357142857142858,12.5,22.5,49
2025-05-15,16.53191489361702,14.0,21.5,47
2025-05-16,17.159574468085108,14.5,21.5,47
2025-05-17,18.135135135135137,15.0,24.0,37
2025-05-18,16.701923076923077,15.0,23.0,52
2025-05-19,16.739583333333332,14.0,20.0,48
2025-05-20,17.225,14.5,22.0,60
2025-05-21,16.46808510638298,14.5,20.0,47
2025-05-22,16.30851063829787,13.5,20.5,47
2025-05-23,16.40625,15.0,20.0,48
2025-05-24,16.8,12.5,18.5,15
2025-05-25,17.406976744186046,10.5,25.0,43
2025-05-26,17.640625,11.5,20.5,32
2025-05-27,16.547619047619047,14.5,20.5,42
2025-05-28,17.91304347826087,15.5,23.5,23
2025-05-29,16.416666666666668,14.0,20.0,48
2025-05-30,16.925531914893618,13.5,21.5,47
2025-05-31,16.81756756756757,14.0,23.0,74
2025-06-01,16.95,14.5,23.0,40
2025-06-02,17.736842105263158,15.5,21.5,57
2025-06-03,17.16,15.0,19.5,50
2025-06-04,18.06,15.0,32.0,50
2025-06-05,17.051724137931036,12.0,20.5,58
2025-06-06,17.091836734693878,14.5,22.5,49
2025-06-07,16.895833333333332,14.5,20.0,48
2025-06-08,16.74390243902439,15.0,20.5,41
2025-06-09,17.240384615384617,15.0,20.5,52
2025-06-10,16.642857142857142,14.5,19.5,49
2025-06-11,17.243589743589745,15.0,20.5,39
2025-06-12,16.84,15.0,20.5,50
2025-06-13,16.884615384615383,15.0,20.0,39
2025-06-14,17.716666666666665,13.5,20.0,30
2025-06-15,17.892857142857142,16.0,21.5,42
2025-06-16,17.363636363636363,15.0,20.5,33
2025-06-17,18.036363636363635,15.5,32.0,55
2025-06-18,17.25438596491228,13.5,23.0,57
2025-06-19,16.36904761904762,15.0,24.5,42
2025-06-20,16.91111111111111,15.0,20.0,45
2025-06-21,16.944444444444443,15.0,20.0,45
2025-06-22,16.393617021276597,13.0,19.5,47
2025-06-23,17.6875,15.0,21.5,56
2025-06-24,17.337209302325583,15.5,21.0,43
2025-06-25,16.39,13.5,20.0,50
2025-06-26,16.23404255319149,14.0,22.5,47
2025-06-27,15.75,13.0,22.5,48
2025-06-28,17.38,10.0,21.5,50
2025-06-29,17.822580645161292,15.0,35.0,31
2025-06-30,17.04032258064516,14.0,19.5,62
2025-07-01,16.866666666666667,14.5,19.5,45
2025-07-02,16.88372093023256,15.0,20.5,43
2025-07-03,16.817073170731707,14.0,22.0,41
2025-07-04,17.183673469387756,14.5,21.0,49
2025-07-05,16.853658536585368,15.0,20.5,41
2025-07-06,18.28125,16.0,22.5,48
2025-07-07,17.915254237288135,16.0,24.0,59
2025-07-08,17.36842105263158,15.0,22.0,57
2025-07-09,17.11,15.0,21.0,50
2025-07-10,17.11,15.0,22.0,50
2025-07-11,16.543478260869566,14.5,22.0,46
2025-07-12,17.855263157894736,15.5,21.0,38
2025-07-13,17.678571428571427,15.0,22.0,42
2025-07-14,16.782608695652176,15.0,22.0,46
2025-07-15,17.01923076923077,15.0,22.0,52
2025-07-16,16.682692307692307,14.0,22.5,52
2025-07-17,16.28409090909091,14.0,19.5,44
2025-07-18,17.104166666666668,15.0,23.5,48
2025-07-19,16.647058823529413,14.0,22.0,51
2025-07-20,17.701923076923077,15.0,23.0,52
2025-07-21,16.8875,15.0,22.5,40
2025-07-22,16.704545454545453,15.0,21.5,44
2025-07-23,16.560344827586206,14.0,19.5,58
2025-07-24,16.386363636363637,14.0,19.0,44
2025-07-25,16.988888888888887,15.0,20.5,45
2025-07-26,17.025,14.0,21.0,40
2025-07-27,18.30392156862745,15.0,23.5,51
2025-07-28,17.317307692307693,14.0,24.5,52
2025-07-29,16.814814814814813,13.5,21.0,54
2025-07-30,17.13,15.0,24.5,50
2025-07-31,17.29591836734694,14.5,21.5,49
2025-08-01,16.766666666666666,15.0,20.0,45
2025-08-02,16.569444444444443,14.0,19.0,36
2025-08-03,16.509090909090908,13.5,19.5,55
2025-08-04,18.169811320754718,16.0,24.5,53
2025-08-05,17.475409836065573,15.5,23.0,61
2025-08-06,16.9,14.5,23.0,45
2025-08-07,16.239583333333332,14.5,18.5,48
2025-08-08,17.141025641025642,14.5,21.0,39
2025-08-09,17.261904761904763,15.5,22.0,42
2025-08-10,17.708333333333332,15.5,21.5,48
2025-08-11,18.06382978723404,15.5,23.0,47
2025-08-12,17.372549019607842,15.5,26.0,51
2025-08-13,17.140350877192983,14.0,20.5,57
2025-08-14,17.34,15.0,22.5,50
2025-08-15,16.80851063829787,14.0,19.5,47
2025-08-16,16.648936170212767,15.0,19.5,47
2025-08-17,17.266666666666666,16.0,19.5,15
2025-08-18,17.19736842105263,15.0,22.5,38
2025-08-19,16.425531914893618,14.5,21.0,47
2025-08-20,16.324324324324323,15.0,18.5,37
2025-08-21,17.666666666666668,16.5,18.5,6
2025-08-22,16.977272727272727,14.5,21.5,44
2025-08-23,17.640625,15.5,22.5,32
2025-09-01,17.53125,16.5,18.0,16
2025-09-02,16.685185185185187,13.0,22.5,54
2025-09-03,16.918367346938776,14.0,22.0,49
2025-09-04,16.196428571428573,13.5,22.0,56
2025-09-05,16.32608695652174,14.0,20.0,46
2025-09-06,16.866666666666667,13.5,22.5,45
2025-09-07,17.05,14.0,20.0,50
2025-09-08,16.879310344827587,14.5,21.5,58
2025-09-09,16.245098039215687,14.0,18.5,51
2025-09-10,16.940677966101696,13.0,20.5,59
2025-09-11,16.345454545454544,14.0,19.5,55
2025-09-12,16.704545454545453,14.5,22.5,44
2025-09-13,16.638297872340427,15.0,20.0,47
2025-09-14,17.988372093023255,15.0,23.0,43
2025-09-15,18.327272727272728,14.0,26.0,55
2025-09-16,16.59090909090909,14.5,21.0,44
2025-09-17,16.745098039215687,15.0,20.5,51
2025-09-18,16.830188679245282,15.0,20.5,53
2025-09-19,16.608695652173914,15.0,19.5,46
2025-09-20,17.133333333333333,15.0,19.5,45
2025-09-21,17.5,15.5,24.0,48
2025-09-22,17.435185185185187,14.5,19.5,54
2025-09-23,16.6,14.0,20.5,55
2025-09-24,16.74,15.0,22.5,50
2025-09-25,17.22,14.5,22.0,50
2025-09-26,17.0,14.5,21.5,40
2025-09-27,16.82051282051282,15.0,21.0,39
2025-09-28,16.63235294117647,12.5,20.5,34
2025-09-29,17.081632653061224,15.0,22.0,49
2025-09-30,17.54255319148936,15.0,21.0,47
2025-10-01,17.490384615384617,14.5,23.0,52
2025-10-02,18.08974358974359,14.5,23.0,39
2025-10-03,17.92241379310345,15.0,27.5,58
2025-10-04,17.42156862745098,9.5,21.0,51
2025-10-05,17.98181818181818,16.5,22.5,55
2025-10-06,17.20754716981132,14.5,21.0,53
2025-10-07,17.526315789473685,14.5,23.5,38
2025-10-08,17.127906976744185,15.5,19.0,43
2025-10-09,17.42105263157895,15.0,22.5,38
2025-10-10,17.5,16.5,19.5,3
2025-10-11,15.739583333333334,13.5,19.0,48
2025-10-12,16.802325581395348,14.5,24.5,43
2025-10-13,16.35185185185185,12.0,20.0,54
2025-10-14,15.89,13.5,19.0,50
2025-10-15,16.479591836734695,14.5,18.5,49
2025-10-16,16.108695652173914,14.0,19.0,46
2025-10-17,16.206521739130434,13.0,20.5,46
2025-10-18,17.148936170212767,14.0,21.5,47
2025-10-19,16.861702127659573,15.0,19.0,47
2025-10-20,17.975806451612904,15.5,21.5,62
2025-10-21,16.416666666666668,14.0,19.0,60
2025-10-22,16.528846153846153,15.0,19.0,52
2025-10-23,16.523809523809526,14.0,21.0,42
2025-10-24,16.96875,14.0,31.5,48
2025-10-25,17.380434782608695,15.5,20.5,46
2025-10-26,17.416666666666668,14.5,20.5,54
2025-10-27,16.71,13.5,21.0,50
2025-10-28,16.901960784313726,15.0,21.5,51
2025-10-29,16.392857142857142,14.5,20.0,42
2025-10-30,16.540816326530614,14.0,20.5,49
2025-10-31,15.891304347826088,14.0,20.0,46
2025-11-01,16.763157894736842,15.0,21.0,38
2025-11-02,16.96590909090909,14.5,21.5,44
2025-11-03,16.37735849056604,14.0,18.5,53
2025-11-04,16.555555555555557,14.5,21.0,45
2025-11-05,16.17391304347826,14.5,18.5,46
2025-11-06,16.363636363636363,14.5,19.0,55
2025-11-07,17.22340425531915,14.5,20.0,47
2025-11-08,16.87837837837838,15.0,21.0,37
2025-11-09,17.80851063829787,15.5,23.0,47
2025-11-10,17.294117647058822,15.0,23.5,51
2025-11-11,17.085106382978722,15.5,21.0,47
2025-11-12,16.455555555555556,15.0,20.0,45
2025-11-13,16.6,14.5,20.0,50
2025-11-14,16.855555555555554,14.0,19.0,45
2025-11-15,16.441176470588236,14.5,20.0,51
2025-11-16,17.217391304347824,14.5,35.5,69
2025-11-17,17.598039215686274,14.5,23.0,51
2025-11-18,16.725,15.0,20.5,40
2025-11-19,16.634615384615383,14.5,20.0,52
2025-11-20,16.125,14.0,19.5,52
2025-11-21,16.627659574468087,14.0,24.0,47
2025-11-22,16.815217391304348,15.0,19.0,46
2025-11-23,16.229166666666668,12.5,21.5,48
2025-11-24,17.69047619047619,15.0,23.0,63
2025-11-25,17.875,15.5,26.0,56
2025-11-26,17.21818181818182,14.0,35.0,55
2025-11-27,16.5,15.0,22.0,48
2025-11-28,17.083333333333332,14.5,21.5,54
2025-11-29,17.258928571428573,12.5,21.5,56
2025-11-30,17.386363636363637,15.0,21.0,44
2025-12-01,16.63953488372093,12.5,20.5,43
2025-12-02,17.145833333333332,14.5,32.0,48
2025-12-03,15.947916666666666,13.0,19.5,48
2025-12-04,16.28181818181818,15.0,19.0,55
2025-12-05,16.817073170731707,14.5,21.0,41
2025-12-06,16.48936170212766,14.0,21.0,47
2025-12-07,17.03488372093023,15.0,21.5,43
2025-12-08,17.06896551724138,14.5,22.0,58
2025-12-09,17.087719298245613,14.5,21.5,57
2025-12-10,17.129310344827587,14.5,22.0,58
2025-12-11,17.351063829787233,15.0,21.0,47
2025-12-12,16.931818181818183,14.5,22.5,44
2025-12-13,19.333333333333332,19.0,19.5,3
2025-12-14,16.67,12.5,20.5,50
2025-12-15,16.806451612903224,13.0,19.0,31
2025-12-16,16.5,15.0,19.5,49
2025-12-17,16.80909090909091,14.5,20.5,55
2025-12-18,17.361702127659573,15.0,22.0,47
2025-12-19,17.032608695652176,15.0,20.0,46
2025-12-20,16.770833333333332,14.5,20.5,48
